Value,Title,Location,Sector
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54290273,[경력]Python 기반 ETL & Data Solution Engineer(부산),부산 사하구,데이터엔지니어 SCM 솔루션업체 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54307162,Python 백엔드 개발자 채용,서울 마포구,웹개발 프론트엔드 AWS 광고대행사
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54255019,"Python , DJango/DJangoRestframework 기반 웹서비스 개발",서울 강서구,Java 웹개발 프론트엔드 SI개발 웹표준·웹접근성
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54088123,(주)와이즈캔 - AI 및 Python 개발자 채용,서울 강남구,웹개발 솔루션업체 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54288188,휴머노이드 로봇 제어 SW 개발 (ROS2 / C++ / Python),대구 달성군,로봇엔지니어 로봇설계 AI(인공지능) 기타제조업
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53849649,Python 기반 자연어처리(NLP) AI 개발자 경력직 채용,서울 종로구,Python SI개발 LLM RAG SI·시스템통합
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53850131,[씨이랩] Python 개발자(NVIDIA Omniverse 관련),서울 강남구,Python AI(인공지능) C++ 백엔드/서버개발 S/W
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54105220,[경력] AI Agent & Python Backend Engineer,서울 강남구,Python AI(인공지능) 백엔드/서버개발 Linux 딥러닝
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54110683,[키미디에스] [분당/하이닉스] 파이썬(Python) 백엔드 프리랜서,경기 성남시 분당구,Python Java OracleDB React SpringBoot
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54078638,차량용 S/W Test 자동화 개발(Python),인천 서구,Python 솔루션업체 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54121362,(주)미러로이드 Python 백엔드 + AI 개발자 경력 채용 공고,경기 성남시 수정구,Python 백엔드/서버개발 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54258660,[Python]제품개발 및 개발자 채용,경기 화성시,Python C++ Java 네트워크 이미지프로세싱
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54206701,AI제품(Python) 개발 경력직(10년 이상) 채용,서울 강서구,Python AI(인공지능) 백엔드/서버개발 Java 웹개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54180798,[Python SI 분당] Airflow 기반에 Python 개발자 모집(5),경기 성남시 분당구,Python 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54204561,[Python SI 시청역] 은행 대화형 에이전트 빌더 구축 (3),서울 중구,Python 웹개발 SI·시스템통합
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54229011,알고리즘 구현(RF Simulation/Python 수치해석),서울 강남구,Python 설계엔지니어 시스템설계 전기설계 회로설계
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54229023,Python(파이썬) 개발자(경력) 모집,서울 강남구,Python AI(인공지능) Java 반응형웹 C#
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54277258,#[코스닥 상장 특수합금 공급 기업] Python Developer,서울 강남구,Python 금속 금속재료
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54296424,파이썬 백엔드 개발자(Python Backend Engineer) 채용 件,경기 수원시 영통구,Python 백엔드/서버개발 Java OracleDB Pandas
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54289813,"장비 제어 프로그램 개발(Linux, C++, python, 대리~차장급)",경기 수원시 권선구,Python C++ Linux C언어 장비제어
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54293485,Python Developer,서울 강남구,Python 서치펌 헤드헌팅
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54162703,Python기반 자동화엔지니어 경력,서울 송파구,Python 웹개발 유지보수
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54230672,[우주항공산업 글로벌 유통기업] Python Developer,서울 중구,Python 백엔드/서버개발 웹개발 데이터분석가 ERP
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54215899,[Python] 마포 호전실업 AI Python 개발자 모집,서울 구로구,Python SI·시스템통합 ERP
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53862136,(주)랩씨드 Python AI 백엔드 엔지니어 채용,서울 관악구,Python 백엔드/서버개발 알고리즘 AWS Django
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54261238,"[외국계기업] 우주항공 ERP,Python 영업분석 개발자 (대리-차장)",서울 강남구,Python ERP 헤드헌팅
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54011981,"(증미) LGES DX, Python(FastAPI), 중급이하",서울 강서구,Python OracleDB PostgreSQL SpringBoot SI·시스템통합
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54074200,주식회사 오토패스에서 Python·AWS·OCR 개발자 모셔요,경기 파주시,Python 유지보수 네트워크 AWS MariaDB
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54270441,"ERP 영업분석 개발자 (Python/Odoo),코스닥 상장사",서울 강남구,Python ERP Odoo 건설회사 토목회사
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54269763,컴퓨터 프로그래머 (C# / Python 가능자),경기 안양시 동안구,Python 정보통신 바이러스
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53790246,[DEEPNOID] Backend Engineer (Python),서울 구로구,백엔드/서버개발 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54155874,백엔드 개발자 (Python),서울 동작구,백엔드/서버개발 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53771612,업무시스템 개발 PM (Java/Python 기반),서울 강남구,AI(인공지능) Java 기술지원 데이터분석가 데이터엔지니어
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54227736,Python Developer - Sales Analytics (KOR),서울 강남구,백엔드/서버개발 ERP 금속
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54118653,(주)밸리언트데이터에서 Python Web Full-Stack 개발자를 찾고 있어요,경기 성남시 분당구,웹개발 웹호스팅
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54121073,[AI개발 SI 증미역] Python 기반 AI 관련 개발자 모집 (8),서울 강서구,AI(인공지능) Pytorch 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54134122,[PYTHON SI 판교] AI 관련 내부 시스템 개발,경기 성남시 분당구,백엔드/서버개발 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54183368,[데이터랩스] LLM을 위한 Python 개발 AI 서비스 경력자 모집,서울 강서구,Java Linux GCP Kubernetes MyBatis
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54303138,"데이터 분석( SQL, Python) FPS게임/세계적게임사",경기 성남시 분당구,데이터분석가 리서치 데이터분석 게임데이터분석 헤드헌팅
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54142050,AI 기반 에너지관리시스템 Python 백엔드 개발자 채용,인천 서구,백엔드/서버개발 솔루션업체 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53987523,"프로그램 개발자 모집(Machine Vision, AI(Python), C, C#, C++)",경북 포항시 남구,AI(인공지능) S/W SE(시스템엔지니어) SI개발 알고리즘
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53986663,(주)랩씨드에서 Python Backend 및 AI 개발자를 찾고 있어요,서울 서초구,AI(인공지능) 알고리즘 인프라 아키텍쳐 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53902323,(스타트업)핵심 멤버로 함께 성장하실 Python 개발자 2명 채용,서울 강서구,웹개발 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53978633,임베디드 시스템 개발자 (C++/C#/Python),경북 안동시,C++ SE(시스템엔지니어) 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54231266,[데이터 분석가(Python 또는 R)],서울 강남구,데이터분석가 헤드헌팅
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53978116,AI Vision/MFC/C# Python 개발직,충남 천안시 동남구,S/W 솔루션 DBMS WCF 파워빌더
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54138256,기업부설연구소 ROS / Python 개발 경력직 채용,경기 수원시 영통구,로봇엔지니어 연구원 R&D R&D기획 기술연구
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54039791,정교하고 실행력 있는 엔지니어 (Python),서울 마포구,국제무역사 무역경리 무역사무원 무역중개인 원산지관리사
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54268212,[우주항공·방산용 특수소재 전문기업] Python Developer,서울 강남구,생산관리 품질관리 구매 우주
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54056067,파이썬(딥러닝) 개발자 모집 [신입],서울 서초구,Python AI(인공지능) 머신러닝 딥러닝 Pytorch
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54211098,[판교/AI스타트업] 파이썬 개발 보조 및 데이터 검증 담당자 모,경기 성남시 수정구,백엔드/서버개발 머신러닝 딥러닝 데이터분석가 데이터엔지니어
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54271343,파이썬 개발자 채용,서울 강남구,Python 백엔드/서버개발 인프라 광고기획사 광고대행사
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54123015,"사당역/이수역/JAVA Spring, 파이썬 풀스택 경력 채용",서울 서초구,Python 백엔드/서버개발 웹개발 프론트엔드 데이터시각화
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54179578,"머신러닝, 딥러닝, AI, 파이썬 데이터 분석 개발자 (제주대근무)",제주 제주시,Python AI(인공지능) 머신러닝 딥러닝 알고리즘
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54220945,(주)유스바이오글로벌에서 파이썬 기반 의료영상 AI개발자 찾고 있어요,서울 구로구,백엔드/서버개발 데이터분석가 데이터엔지니어 API 데이터 사이언티스트
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54283862,[드랩아트] 비주얼 생성형 AI 솔루션 파이썬 백엔드 개발자,서울 강남구,백엔드/서버개발 소프트웨어개발
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54312693,자산관리팀 신입사원 채용 (SQL/파이썬/VBA/엑셀 가능자 우대,서울 서초구,문서작성 사무행정 서류관리 자산관리 금융사무
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54214979,(주)베터리얼 파이썬 개발 경력 사원 모집,경기 성남시 중원구,Python 데이터엔지니어 SE(시스템엔지니어) 네트워크 정보통신
